Timeinterval Start Loc;Timeinterval End Loc;Isp;Quantity Measurement Unit Name;Measured Infeed;Scheduled Import;Scheduled Export
2024-01-01T00:00;2024-01-01T00:15;1;MWh;1641.501;229.2;-546
2024-01-01T00:15;2024-01-01T00:30;2;MWh;1617.169;216.525;-555.675
2024-01-01T00:30;2024-01-01T00:45;3;MWh;1623.254;216.225;-563.4
2024-01-01T00:45;2024-01-01T01:00;4;MWh;1633.918;219.925;-549.475
2024-01-01T01:00;2024-01-01T01:15;5;MWh;1636.615;179.4;-514.525
2024-01-01T01:15;2024-01-01T01:30;6;MWh;1618.196;180.7;-515.825
2024-01-01T01:30;2024-01-01T01:45;7;MWh;1604.937;163.65;-527.75
2024-01-01T01:45;2024-01-01T02:00;8;MWh;1570.634;167.325;-517.55
2024-01-01T02:00;2024-01-01T02:15;9;MWh;1638.727;249.175;-519.45
2024-01-01T02:15;2024-01-01T02:30;10;MWh;1622.994;252.85;-523.125
2024-01-01T02:30;2024-01-01T02:45;11;MWh;1630.668;252.1;-522.375
2024-01-01T02:45;2024-01-01T03:00;12;MWh;1616.485;252.625;-522.9
2024-01-01T03:00;2024-01-01T03:15;13;MWh;1587.695;269.475;-546.85
2024-01-01T03:15;2024-01-01T03:30;14;MWh;1567.637;270.625;-546.3
2024-01-01T03:30;2024-01-01T03:45;15;MWh;1609.501;272.825;-541.5
2024-01-01T03:45;2024-01-01T04:00;16;MWh;1590.249;272.825;-541.5
2024-01-01T04:00;2024-01-01T04:15;17;MWh;1588.302;326.225;-622.025
2024-01-01T04:15;2024-01-01T04:30;18;MWh;1552.175;326.225;-622.025
2024-01-01T04:30;2024-01-01T04:45;19;MWh;1556.95;326.225;-622.025
2024-01-01T04:45;2024-01-01T05:00;20;MWh;1549.529;326.225;-625.325
2024-01-01T05:00;2024-01-01T05:15;21;MWh;1554.583;324.7;-614.15
2024-01-01T05:15;2024-01-01T05:30;22;MWh;1586.903;343.6;-611.575
2024-01-01T05:30;2024-01-01T05:45;23;MWh;1601.764;352.4;-606.75
2024-01-01T05:45;2024-01-01T06:00;24;MWh;1612.57;368.275;-598.775
2024-01-01T06:00;2024-01-01T06:15;25;MWh;1635.184;588.925;-765.675
2024-01-01T06:15;2024-01-01T06:30;26;MWh;1631.187;604.15;-772.175
2024-01-01T06:30;2024-01-01T06:45;27;MWh;1626.558;604.15;-767.7
2024-01-01T06:45;2024-01-01T07:00;28;MWh;1618.462;604.15;-775.125
2024-01-01T07:00;2024-01-01T07:15;29;MWh;1643.116;464.75;-577.675
2024-01-01T07:15;2024-01-01T07:30;30;MWh;1646.941;465.55;-584.3
2024-01-01T07:30;2024-01-01T07:45;31;MWh;1715.052;465.55;-575.775
2024-01-01T07:45;2024-01-01T08:00;32;MWh;1717.167;465.55;-570.825
2024-01-01T08:00;2024-01-01T08:15;33;MWh;1722.514;410.625;-479.575
2024-01-01T08:15;2024-01-01T08:30;34;MWh;1809.51;412.425;-422.475
2024-01-01T08:30;2024-01-01T08:45;35;MWh;1842.502;427.9;-406.15
2024-01-01T08:45;2024-01-01T09:00;36;MWh;1859.477;432.275;-412.075
2024-01-01T09:00;2024-01-01T09:15;37;MWh;1875.389;487.425;-441.125
2024-01-01T09:15;2024-01-01T09:30;38;MWh;1842.842;469.45;-438.8
2024-01-01T09:30;2024-01-01T09:45;39;MWh;1846.206;480.525;-450.075
2024-01-01T09:45;2024-01-01T10:00;40;MWh;1890.371;490.325;-471.35
2024-01-01T10:00;2024-01-01T10:15;41;MWh;1882.106;576.325;-577.125
2024-01-01T10:15;2024-01-01T10:30;42;MWh;1858.761;567.925;-614.425
2024-01-01T10:30;2024-01-01T10:45;43;MWh;1840.313;566.9;-628.95
2024-01-01T10:45;2024-01-01T11:00;44;MWh;1816.697;566.625;-643
2024-01-01T11:00;2024-01-01T11:15;45;MWh;1796.404;551.825;-650.05
2024-01-01T11:15;2024-01-01T11:30;46;MWh;1748.743;547.475;-688.75
2024-01-01T11:30;2024-01-01T11:45;47;MWh;1748.466;544.8;-705.25
2024-01-01T11:45;2024-01-01T12:00;48;MWh;1701.697;543.625;-725.625
2024-01-01T12:00;2024-01-01T12:15;49;MWh;1681.459;498.45;-693.725
2024-01-01T12:15;2024-01-01T12:30;50;MWh;1680.42;496.25;-718.125
2024-01-01T12:30;2024-01-01T12:45;51;MWh;1667.166;496.25;-736.55
2024-01-01T12:45;2024-01-01T13:00;52;MWh;1692.511;496.25;-754.025
2024-01-01T13:00;2024-01-01T13:15;53;MWh;1675.692;536.55;-765.95
2024-01-01T13:15;2024-01-01T13:30;54;MWh;1661.582;536.425;-769.55
2024-01-01T13:30;2024-01-01T13:45;55;MWh;1732.037;525.5;-730.575
2024-01-01T13:45;2024-01-01T14:00;56;MWh;1709.261;529.475;-716.65
2024-01-01T14:00;2024-01-01T14:15;57;MWh;1722.564;672.15;-762.375
2024-01-01T14:15;2024-01-01T14:30;58;MWh;1754.499;664.975;-735.175
2024-01-01T14:30;2024-01-01T14:45;59;MWh;1785.84;663.025;-685.15
2024-01-01T14:45;2024-01-01T15:00;60;MWh;1871.906;679.25;-651.025
2024-01-01T15:00;2024-01-01T15:15;61;MWh;1967.28;921.975;-803.6
2024-01-01T15:15;2024-01-01T15:30;62;MWh;2051.169;921.975;-761.8
2024-01-01T15:30;2024-01-01T15:45;63;MWh;2110.151;933.9;-663.95
2024-01-01T15:45;2024-01-01T16:00;64;MWh;2130.327;956.475;-654.325
2024-01-01T16:00;2024-01-01T16:15;65;MWh;2141.354;942.625;-534.45
2024-01-01T16:15;2024-01-01T16:30;66;MWh;2241.304;942.45;-439.325
2024-01-01T16:30;2024-01-01T16:45;67;MWh;2242.56;946.025;-374.525
2024-01-01T16:45;2024-01-01T17:00;68;MWh;2294.118;943.7;-372.2
2024-01-01T17:00;2024-01-01T17:15;69;MWh;2259.226;679.275;-193.2
2024-01-01T17:15;2024-01-01T17:30;70;MWh;2301.913;679.775;-143.4
2024-01-01T17:30;2024-01-01T17:45;71;MWh;2331.76;679.275;-142.825
2024-01-01T17:45;2024-01-01T18:00;72;MWh;2330.026;679.275;-142.825
2024-01-01T18:00;2024-01-01T18:15;73;MWh;2406.378;1022.175;-327.4
2024-01-01T18:15;2024-01-01T18:30;74;MWh;2406.39;1022.175;-327.475
2024-01-01T18:30;2024-01-01T18:45;75;MWh;2391.622;1022.2;-327.65
2024-01-01T18:45;2024-01-01T19:00;76;MWh;2418.429;1025.175;-330.625
2024-01-01T19:00;2024-01-01T19:15;77;MWh;2421.845;1094.05;-341.825
2024-01-01T19:15;2024-01-01T19:30;78;MWh;2423.863;1087.225;-346.925
2024-01-01T19:30;2024-01-01T19:45;79;MWh;2374.507;1087.225;-375.825
2024-01-01T19:45;2024-01-01T20:00;80;MWh;2342.281;1087.225;-405.35
