Timeinterval Start Loc,Timeinterval End Loc,Isp,Quantity Measurement Unit Name,Measured Infeed,Scheduled Import,Scheduled Export
2025-01-01T00:00,2025-01-01T00:15,1,MWh,1764.872,157.725,-456.225
2025-01-01T00:15,2025-01-01T00:30,2,MWh,1790.468,159.25,-452.7
2025-01-01T00:30,2025-01-01T00:45,3,MWh,1792.986,159.25,-451.65
2025-01-01T00:45,2025-01-01T01:00,4,MWh,1757.867,159.25,-449.3
2025-01-01T01:00,2025-01-01T01:15,5,MWh,1794.532,337.7,-515.4
2025-01-01T01:15,2025-01-01T01:30,6,MWh,1796.437,344.4,-512.85
2025-01-01T01:30,2025-01-01T01:45,7,MWh,1793.397,342.225,-515.25
2025-01-01T01:45,2025-01-01T02:00,8,MWh,1755.633,355,-513.225
2025-01-01T02:00,2025-01-01T02:15,9,MWh,1726.237,419.825,-724.525
2025-01-01T02:15,2025-01-01T02:30,10,MWh,1672.693,427.8,-721.2
2025-01-01T02:30,2025-01-01T02:45,11,MWh,1693.078,427.8,-719.875
2025-01-01T02:45,2025-01-01T03:00,12,MWh,1652.334,429.4,-724.575
2025-01-01T03:00,2025-01-01T03:15,13,MWh,1638.696,493.1,-862.225
2025-01-01T03:15,2025-01-01T03:30,14,MWh,1589.98,475.9,-862.225
2025-01-01T03:30,2025-01-01T03:45,15,MWh,1595.45,479,-862.225
2025-01-01T03:45,2025-01-01T04:00,16,MWh,1592.221,475.175,-862.225
2025-01-01T04:00,2025-01-01T04:15,17,MWh,1606.611,590.8,-975.35
2025-01-01T04:15,2025-01-01T04:30,18,MWh,1553.282,597.1,-972.85
2025-01-01T04:30,2025-01-01T04:45,19,MWh,1535.31,592.6,-973.6
2025-01-01T04:45,2025-01-01T05:00,20,MWh,1552.297,588.725,-971.225
2025-01-01T05:00,2025-01-01T05:15,21,MWh,1607.59,419.4,-661.95
2025-01-01T05:15,2025-01-01T05:30,22,MWh,1629.557,431.6,-661.95
2025-01-01T05:30,2025-01-01T05:45,23,MWh,1577.901,440.1,-661.95
2025-01-01T05:45,2025-01-01T06:00,24,MWh,1594.095,429.675,-661.775
2025-01-01T06:00,2025-01-01T06:15,25,MWh,1624.365,369.675,-629
2025-01-01T06:15,2025-01-01T06:30,26,MWh,1655.712,365.55,-628.95
2025-01-01T06:30,2025-01-01T06:45,27,MWh,1609.868,359.425,-628.9
2025-01-01T06:45,2025-01-01T07:00,28,MWh,1665.648,377.9,-628.9
